,nome,team,img,titolare,entrato,squalificato,infortunato,inutilizzato,presenze,minuti_giocati,sostituito,cartellini_gialli,cartellini_rossi,%_bonus_match,%_malus_match,%_match_voto,%_sostituzione
0,Tonelli,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/TONELLI.png,8,6,0,5,13,14,868,1,4,0,0.0,35.71,40.62,12.5
0,Tuanzebe,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/TUANZEBE.png,0,1,0,3,28,1,10,0,0,0,0.0,0.0,0.0,0.0
0,Udogie,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/UDOGIE.png,21,6,0,2,3,27,1801,11,3,0,11.11,11.11,81.25,52.38
0,Ullmann,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,1,1,0,0,30,2,105,0,0,0,0.0,0.0,6.25,0.0
0,Vanheusden,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/VANHEUSDEN.png,11,3,0,13,5,14,989,3,3,0,0.0,28.57,43.75,27.27
0,Vasquez,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/VASQUEZ.png,23,1,1,0,7,24,1965,4,7,0,4.17,29.17,75.0,17.39
0,Venuti,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/VENUTI.png,14,3,0,2,13,17,1157,5,1,0,0.0,11.76,46.88,35.71
0,Veseli,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/VESELI.png,8,1,1,7,15,9,597,3,1,1,0.0,22.22,25.0,37.5
0,Vina,Roma,https://content.fantacalcio.it/web/campioncini/card2021/VINA.png,18,6,0,3,5,24,1544,9,2,0,4.17,8.33,68.75,50.0
0,Viti,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,13,4,1,0,14,17,1218,1,0,1,0.0,11.76,50.0,7.69
0,Vojvoda,Torino,https://content.fantacalcio.it/web/campioncini/card2021/VOJVODA.png,17,7,0,0,8,24,1630,5,1,0,8.33,4.17,75.0,29.41
0,Walukiewicz,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/WALUKIEWICZ.png,4,2,0,24,2,6,294,4,1,0,0.0,16.67,18.75,100.0
0,Yoshida,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/YOSHIDA.png,18,6,0,6,2,24,1728,2,1,0,20.83,8.33,68.75,11.11
0,Zanoli,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/ZANOLI.png,2,6,0,5,19,8,219,0,0,0,0.0,0.0,9.38,0.0
0,Zappa,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPA.png,11,13,1,1,6,24,1135,6,2,1,0.0,12.5,65.62,54.55
0,Zappacosta,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/ZAPPACOSTA.png,22,5,1,0,4,27,1739,14,6,0,14.81,22.22,75.0,63.64
0,Zeegelaar,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/ZEEGELAAR.png,6,7,0,0,19,13,617,1,3,0,0.0,15.38,34.38,16.67
0,Zima,Torino,https://content.fantacalcio.it/web/campioncini/card2021/ZIMA.png,9,6,0,0,17,15,917,1,2,0,0.0,13.33,40.62,11.11
0,Zortea,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/ZORTEA.png,9,13,0,3,7,22,992,5,2,0,13.64,9.09,53.12,55.56
0,Aebischer,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/AEBISCHER.png,2,4,0,0,26,6,199,1,0,0,0.0,0.0,9.38,50.0
0,Agudelo,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/AGUDELO.png,7,10,1,10,4,17,810,4,2,1,17.65,11.76,53.12,57.14
0,Akpa-Akpro,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/AKPA-AKPRO.png,4,5,0,3,20,9,301,4,1,0,0.0,11.11,18.75,100.0
